logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene	regulation
7.30596393766366	8.96578887567219	61.7570147546071	1.62998063277879e-137	3.29060490145382e-133	303.06579115376	S100A7A	Up
6.65833715003529	10.5015508553663	58.9278594765365	1.96620720658272e-133	1.9846895543246e-129	293.856666688236	PI3	Up
5.47331089056067	9.19819918986951	57.7683451370894	1.03946676742553e-131	6.99491836692887e-128	289.962829500991	AKR1B10	Up
8.77200465615713	9.3860512880845	53.8386831603927	1.23490422912815e-125	6.23256164440979e-122	276.210617358191	SERPINB4	Up
4.98968235007725	9.54810448602553	53.272084208165	9.97950467257248e-125	4.02932480659787e-121	274.15312093636	C10orf99	Up
5.89344999222175	11.5475150812512	50.0403482503359	2.18345178187824e-119	7.34658742875966e-116	262.030637821751	S100A9	Up
4.86164889744723	9.60446077350704	48.932742461929	1.72485134346549e-117	4.97447127455448e-114	257.716972891535	IL36G	Up
5.90255228023102	7.80941567632138	47.6535870748078	2.97558000824283e-115	7.50887615080078e-112	252.628517562078	S100A12	Up
4.47488698993784	8.55178065406303	46.6884801479871	1.56486320476288e-113	3.51016204197256e-110	248.711096558969	KYNU	Up
3.89632310189644	8.58183744972612	46.5420292255576	2.8719511794628e-113	5.7978950410995e-110	248.110621860053	HPSE	Up
5.96607772726584	7.47312171579923	46.0883837478755	1.90268007853514e-112	3.49193685686068e-109	246.240364448137	SPRR2C	Up
5.25352988516159	11.2905762916468	44.0774771260149	1.00203658324402e-108	1.68575954521085e-105	237.758702184094	SERPINB3	Up
4.58474987615071	11.2654059076865	42.1620206842417	4.73117719564729e-105	7.34715424813289e-102	229.376228352679	LCE3D	Up
6.15935722036297	8.76205183345929	40.4406508156549	1.23250524514971e-101	1.77727256350588e-98	221.575690105265	TCN1	Up
1.86254333471903	10.6724194039693	37.7884014607634	3.79526848850844e-96	5.10792534973389e-93	209.02865017473	PLBD1	Up
4.07798824914639	7.25820616668928	36.9355864618776	2.54266177596601e-94	3.20820349582512e-91	204.850829408736	GDA	Up
2.47664282413646	9.64391078255379	35.1947953464972	1.69897376861184e-90	2.01758132004328e-87	196.094916082255	TGM1	Up
4.00440884261924	11.334634516155	34.7447427631559	1.74176684890987e-89	1.95348828587736e-86	193.779949557799	KRT16	Up
2.18082142939838	8.08938388987414	34.5107346259997	5.8912854689107e-89	6.25964584454575e-86	192.567750545758	ARNTL2	Up
2.58192309339941	7.05208643119498	34.4962477795491	6.3541176695817e-89	6.41384637567576e-86	192.492513662266	RGS20	Up
1.99943221218011	9.61006950764624	34.4868032771541	6.67534042770434e-89	6.41722726449977e-86	192.443451870273	TMEM45B	Up
2.3212303029324	7.65611385685978	34.3907376115507	1.10296956785131e-88	1.01212498344464e-85	191.943870570906	TTC39A	Up
3.78364909925965	8.27223672810638	33.9601820413849	1.0598913324243e-87	9.30308096477465e-85	189.692561519509	CHI3L2	Up
1.31154131435966	10.2835408600078	33.6082134010037	6.83931549703789e-87	5.75300421892504e-84	187.837182669217	TPBG	Up
2.72080474080871	11.8004221423704	33.4033658561123	2.0369240793669e-86	1.64485693257036e-83	186.751080202311	GJB2	Up
2.42179809197642	11.4969596236236	33.2324861044499	5.0800125677443e-86	3.94443437375469e-83	185.84152724735	CNFN	Up
3.04373200894732	10.121433876945	32.6529026617691	1.1545351726946e-84	8.63250224679945e-82	182.732303563922	SPRR3	Up
4.12395344169347	9.3987113253726	32.2312033876175	1.14709927795145e-83	8.27058579402994e-81	180.446296765956	LCN2	Up
3.82741279950137	6.40906796072277	32.1590824895708	1.70220859557722e-83	1.18497196991424e-80	180.053310847151	ADAMDEC1	Up
1.57923067277366	11.5802556616024	32.1493269512779	1.79563712194339e-83	1.20834407392644e-80	180.000107478315	GM2A	Up
2.23820344758165	10.4092743707042	32.0346777138432	3.3673446997198e-83	2.19290176767559e-80	179.374034959039	PDZK1IP1	Up
2.18738997628233	8.55252434049443	32.0209939679106	3.63013086540555e-83	2.29015880971273e-80	179.29921080822	GDPD3	Up
2.49185224974536	8.04063736591446	31.4782233342864	7.27507770891165e-82	4.45058390265177e-79	176.313916579896	CCNB1	Up
2.88019875460844	10.9503731308427	31.0670507500649	7.20850424613993e-81	4.28015540356097e-78	174.029695577628	IFI27	Up
3.71903161745382	8.03978477162821	30.9847923344281	1.14319899882502e-80	6.59397182522273e-78	173.570347460379	TMPRSS11D	Up
1.8811162088896	7.73497918242558	30.7805042175137	3.6056413065959e-80	2.02196351937661e-77	172.426122171941	MELK	Up
3.79129976034151	9.23106558189775	30.7366119916631	4.61785404531409e-80	2.51960101261624e-77	172.179638856775	RHCG	Up
1.5176107331299	8.50695590730579	30.5963211701179	1.01989926494521e-79	5.41834904229311e-77	171.390289239313	NOD2	Up
3.32292367299656	8.39261780523316	30.5246525561287	1.53016308774783e-79	7.92075190139827e-77	170.986145470695	KLK13	Up
1.28078857334031	10.4153775707965	30.4902263924989	1.85977005998145e-79	9.38625949272637e-77	170.791797745272	KPNA2	Up
1.6539436586771	8.94281226838683	30.1160118122535	1.56419512781157e-78	7.70194420494145e-76	168.670132177609	ADAP2	Up
2.09849279261398	8.5771380955858	30.0297768606754	2.56111242082588e-78	1.23104137027697e-75	168.178840755568	CLEC7A	Up
2.03529841170853	8.01315598601443	29.6306443724453	2.53830151098364e-77	1.19170304427297e-74	165.8933035984	SLC5A1	Up
1.87704598317054	9.07602669938259	29.5262224363463	4.63991142303818e-77	2.12887572291579e-74	165.292187404722	PARP9	Up
1.32771854472498	10.2489644590002	29.4987752682145	5.43827590161729e-77	2.43973142004111e-74	165.133965923437	MPHOSPH6	Up
1.7227804799811	7.66993836670104	29.4317781371545	8.01554365802233e-77	3.51777816017728e-74	164.747372254885	BIRC5	Up
2.53970159915163	9.82045726458862	29.313601921608	1.59099980402237e-76	6.833851924171e-74	164.064132977591	IL36RN	Up
-2.99686892242342	9.91652308528895	-29.1270771948418	4.71075457998062e-76	1.98126486376351e-73	162.982280700081	KRT77	Down
1.9177701744431	9.69972589684767	29.0896527647048	5.85997554467926e-76	2.41430992440785e-73	162.764706793454	CARHSP1	Up
2.06996322072247	7.11316884954536	29.0459002272659	7.56527750956864e-76	3.05455644726343e-73	162.510126596134	SH3PXD2A-AS1	Up
1.28825820593981	10.9192882248531	28.8880933096629	1.90440475201879e-75	7.53845551642261e-73	161.589962132541	TXNDC17	Up
2.51242253101643	10.7745497223244	28.8535766492832	2.33146541160126e-75	9.05146610180889e-73	161.388291073936	SERPINB13	Up
2.15320629382518	7.58783556625515	28.7404323614677	4.53004446315595e-75	1.72551957777721e-72	160.726197252917	SLC7A11	Up
1.29290325637865	9.78133829943792	28.5588497143271	1.31971090999252e-74	4.93376367609796e-72	159.660332454949	UBE2F	Up
1.50372212247643	13.0329323849379	28.5259478964927	1.60253633366562e-74	5.88218245528028e-72	159.466769315399	FABP5	Up
1.76432086721691	6.57692074193607	28.4877518416834	2.00806725674303e-74	7.23908246055864e-72	159.241892631896	POLR3G	Up
1.12185336863523	11.1474441434802	28.319866217238	5.42389052395859e-74	1.92100880522238e-71	158.251343645018	SLC7A1	Up
2.79535796938869	6.41850828150049	28.0080663164419	3.46526126525045e-73	1.20614990384269e-70	156.402431045911	PRSS27	Up
2.29873021661597	12.549150062766	27.9828202324588	4.02881311172058e-73	1.37853693388839e-70	156.252199159314	SPRR1B	Up
4.08836208906765	12.0960106041314	27.8325740085764	9.89325902159203e-73	3.328751885465e-70	155.356490347043	S100A7	Up
1.34524035343142	9.89478971091709	27.7857275328127	1.30990005853929e-72	4.33512498062151e-70	155.076635742597	MICALL1	Up
2.48582945182412	8.6838474131409	27.6357801033611	3.22259387946904e-72	1.04931814901163e-69	154.179031214473	TYMP	Up
1.57257185512583	9.77979504546895	27.6258827845325	3.42021895908271e-72	1.09034111769693e-69	154.119685935412	PTTG1	Up
3.53442669029146	7.07330709225695	27.5683331554955	4.8356804498829e-72	1.50188795264978e-69	153.77437051117	IGFL1	Up
1.2440188608692	9.73504382594224	27.5042629339305	7.11396776484805e-72	2.17601183692049e-69	153.38944285539	NMI	Up
1.26828067294246	7.35914458842744	27.5010433410181	7.25341476719769e-72	2.18555130328637e-69	153.370086316394	GINS3	Up
2.40913532252753	7.89570343187122	27.3043788031023	2.3799801377832e-71	7.06574103258341e-69	152.185258822826	FCHSD1	Up
1.76137285376758	10.1799345172343	27.2777561706516	2.79633325645964e-71	8.18150373643582e-69	152.024495590087	PRSS3	Up
2.13148829347708	9.33424199529993	26.9810800571836	1.69595487671774e-70	4.89113386445397e-68	150.226971893081	PCLAF	Up
2.18871800815902	8.69064043287747	26.9705040102357	1.80887529791262e-70	5.14332035412113e-68	150.162688826131	WNT5A	Up
2.0094443948285	7.07405506687459	26.9610761435112	1.91588255379532e-70	5.37192180500276e-68	150.10537274052	CXCR2	Up
1.53409122790376	8.67592326066618	26.9262750782505	2.36889752059119e-70	6.5511374172185e-68	149.893705182812	TRIM14	Up
1.77588426831501	9.99205977404452	26.8943276384329	2.87887630235926e-70	7.8538857827066e-68	149.699259836343	GGH	Up
2.32511944037889	8.8283325667833	26.8723011497891	3.29333896943862e-70	8.86479028200357e-68	149.565122693865	RRM2	Up
1.59291715343018	9.40590067184838	26.709283658736	8.92832852204064e-70	2.37164600267048e-67	148.570477499702	FAM43A	Up
1.79490805552143	7.92163179983149	26.6048130735118	1.69474383686039e-69	4.44331020500487e-67	147.931292822932	ZDHHC21	Up
1.16089651079706	7.99372698979796	26.5709216033289	2.08701765299253e-69	5.40162979212988e-67	147.7236380859	PRSS3P2	Up
1.48246884078764	10.7984048350423	26.4817447729095	3.61199436037868e-69	9.23024584143353e-67	147.176554427125	STAT1	Up
2.1811370321776	7.39910668374701	26.4393435634747	4.6899307077405e-69	1.18350401409831e-66	146.916078396155	ARSF	Up
1.85579887389963	7.39547694628152	26.4320751201123	4.90477020777672e-69	1.22243828339008e-66	146.871404616525	MKI67	Up
1.11027484819645	8.05550764786165	26.4270193881532	5.06000340668201e-69	1.24574815578166e-66	146.840326811137	KCNK6	Up
1.78088992389084	8.17590620701563	26.3536823298203	7.95427790703122e-69	1.93471039020658e-66	146.389157404732	CCNB2	Up
1.39573837102006	12.1066968720279	26.3365538583391	8.8414891692449e-69	2.12490456367519e-66	146.283685147271	CD24	Up
3.15854455053968	8.79390124829188	26.3178812596649	9.92220895150932e-69	2.35658299191847e-66	146.168662328743	SLC6A14	Up
1.77066960905458	9.22945504693067	26.2241420118683	1.77141036047178e-68	4.15828283223306e-66	145.590564111871	CYSRT1	Up
-1.74994150813417	6.60774240440607	-26.2091373939989	1.94381248423532e-68	4.51053867031525e-66	145.497926090961	MACROD2	Down
2.02807727579474	6.79313057815866	26.2020821145044	2.03060056428196e-68	4.65838229451411e-66	145.454357177652	DLGAP5	Up
2.05449568152137	8.54144560619317	26.1800160909736	2.32794556534129e-68	5.28051292956292e-66	145.318050804536	OAS3	Up
1.22831851384076	10.1526444255529	26.1404557799576	2.97467719121731e-68	6.59920693805439e-66	145.073524316909	MREG	Up
1.111412592633	8.41434243020574	26.0898108803823	4.0725167175798e-68	8.93651820592402e-66	144.760193612283	RABIF	Up
3.17580954354416	8.12170655497775	26.0387545383679	5.59159601970796e-68	1.21379720909531e-65	144.44398859961	ATP12A	Up
1.80569144063689	11.9731176835909	25.9097211140134	1.24769078845514e-67	2.67961506780132e-65	143.64337952791	GJB6	Up
1.08767468949396	10.9245028011665	25.856891032679	1.73414121370542e-67	3.68514134971421e-65	143.31497776709	CD47	Up
3.20517871293798	7.3052201585244	25.8266588203544	2.09397946820018e-67	4.40346432333597e-65	143.126889446155	OAS2	Up
-3.23328673529213	6.00831185913193	-25.7678911588074	3.02200548105357e-67	6.28950996407314e-65	142.760937528085	BTC	Down
2.52884196659511	7.04519255944524	25.6831621696358	5.13254719203858e-67	1.05730472155995e-64	142.232550887846	CD274	Up
1.83820448013436	7.67181568233177	25.6771484999118	5.32935764230889e-67	1.086758303868e-64	142.195013849434	CDC20	Up
2.17739682550078	9.10659642425037	25.6599290236866	5.93579722645405e-67	1.19831874407654e-64	142.087505326277	LAMP3	Up
2.40404299092401	7.51864885912696	25.6511646250259	6.27058063211641e-67	1.25337110694224e-64	142.032771006752	SAMD9	Up
1.85796035852688	9.98866488184037	25.6113244743143	8.04782112784834e-67	1.59283738165688e-64	141.783843467009	MPZL2	Up
1.34821531711287	10.4472115055429	25.4828187919805	1.80228018154622e-66	3.53246915583059e-64	140.979547102271	NT5C3A	Up
2.43489569834418	7.59737409605808	25.3523361406493	4.09521714974466e-66	7.87373750657572e-64	140.160732614055	EPSTI1	Up
3.63010971324577	12.7204472683639	25.2461392563975	7.99971820649707e-66	1.52356897313927e-63	139.492722630033	S100A8	Up
1.3819825367386	8.2168021070193	25.1964716541774	1.09468881181007e-65	2.0653810965254e-63	139.179807242227	UBE2C	Up
