"sample","PC1","PC2","PC3","group","database"
"GSE13355|GSM337197",-32.6095320079426,-10.6834936627214,17.8648156779761,"NN","GSE13355"
"GSE13355|GSM337198",-35.6877373207655,-6.1450446051128,35.2241871859409,"NN","GSE13355"
"GSE13355|GSM337199",-43.3302306479165,-7.92422560518567,15.0712518260747,"NN","GSE13355"
"GSE13355|GSM337200",-49.6508099689117,-1.74987474352363,32.4196049080453,"NN","GSE13355"
"GSE13355|GSM337201",-50.4041301725731,-4.78008365319635,10.7520085109546,"NN","GSE13355"
"GSE13355|GSM337202",-34.2885757888543,-10.2565140964211,33.858578847076,"NN","GSE13355"
"GSE13355|GSM337203",-31.6758928665373,-6.03219313412585,26.270753500217,"NN","GSE13355"
"GSE13355|GSM337204",-45.8608114209671,-2.27223518837555,46.2677364363874,"NN","GSE13355"
"GSE13355|GSM337205",-34.9299127235263,3.94159310433586,28.6746937125221,"NN","GSE13355"
"GSE13355|GSM337206",-50.0681345726918,-9.98876008243911,27.920675691311,"NN","GSE13355"
"GSE13355|GSM337207",-42.3567591487363,-14.4176999588913,12.2527931445329,"NN","GSE13355"
"GSE13355|GSM337208",-27.0569927311637,-6.92787180706865,38.1486192966864,"NN","GSE13355"
"GSE13355|GSM337209",-30.4030804436829,-14.3772419207529,39.2897065901151,"NN","GSE13355"
"GSE13355|GSM337210",-39.4832458662628,-5.31293028587889,22.4947621011263,"NN","GSE13355"
"GSE13355|GSM337211",-36.0133461597774,-0.760409963943984,32.2203883230061,"NN","GSE13355"
"GSE13355|GSM337212",-43.5048750590797,-6.35507591297599,25.632634754878,"NN","GSE13355"
"GSE13355|GSM337213",-34.0079163311202,-9.5377129408955,18.6206594049019,"NN","GSE13355"
"GSE13355|GSM337214",-41.184583346831,-14.8356394994056,25.8444822953964,"NN","GSE13355"
"GSE13355|GSM337215",-38.578390831565,-6.17176649251662,17.2044029862882,"NN","GSE13355"
"GSE13355|GSM337216",-24.1635179904966,10.5895937504775,41.9359662578255,"NN","GSE13355"
"GSE13355|GSM337217",-42.4462978369891,51.284460403642,-7.44602354149089,"NN","GSE13355"
"GSE13355|GSM337218",-52.5214319705916,53.6177342237186,-3.91909715622941,"NN","GSE13355"
"GSE13355|GSM337219",-46.1948334050135,62.9701088695819,-11.7573410102515,"NN","GSE13355"
"GSE13355|GSM337220",-55.4052581743006,36.8471263917341,-3.2897203891807,"NN","GSE13355"
"GSE13355|GSM337221",-36.2236647864789,33.3687966983727,13.2370779341368,"NN","GSE13355"
"GSE13355|GSM337222",-49.3901891981099,35.9515269624815,-13.8718736525851,"NN","GSE13355"
"GSE13355|GSM337223",-28.3297412657477,27.2485790883058,2.49181342957469,"NN","GSE13355"
"GSE13355|GSM337224",-50.8043764933395,45.0086397132743,1.34670555425784,"NN","GSE13355"
"GSE13355|GSM337225",-49.5169917347728,41.6562162169336,-7.35209606503087,"NN","GSE13355"
"GSE13355|GSM337226",-39.2898340457688,40.9742078662395,-12.3986918338164,"NN","GSE13355"
"GSE13355|GSM337227",-38.8412924466677,43.4999135469003,4.51278634124742,"NN","GSE13355"
"GSE13355|GSM337228",-35.8099100038259,44.1743342519815,16.7740823962555,"NN","GSE13355"
"GSE13355|GSM337229",-46.6781056979227,32.2688109147551,-17.7669826058211,"NN","GSE13355"
"GSE13355|GSM337230",-40.1449660080112,40.3346129595219,-6.66878482631907,"NN","GSE13355"
"GSE13355|GSM337231",-43.5180422600058,38.9500462759795,-2.80795656591666,"NN","GSE13355"
"GSE13355|GSM337232",-46.8386254709649,38.2787464289013,-6.69139672074825,"NN","GSE13355"
"GSE13355|GSM337233",-46.5754041577558,37.6375800157813,2.8020771188847,"NN","GSE13355"
"GSE13355|GSM337234",-46.1114468931757,41.8685775401,1.97117852766569,"NN","GSE13355"
"GSE13355|GSM337235",-40.0325850717632,47.1171240138089,16.9785652402329,"NN","GSE13355"
"GSE13355|GSM337236",-40.3130686823437,-35.9080327476709,-4.57249386148793,"NN","GSE13355"
"GSE13355|GSM337237",-52.3516757875761,-42.6263420231672,-18.5083561732931,"NN","GSE13355"
"GSE13355|GSM337238",-43.0528312393976,-43.8716320864557,-14.8486057607356,"NN","GSE13355"
"GSE13355|GSM337239",-18.5564880467379,-39.7877370174731,3.91563896279302,"NN","GSE13355"
"GSE13355|GSM337240",-52.355768970859,-33.4886611323243,-37.629994581285,"NN","GSE13355"
"GSE13355|GSM337241",-37.8473929799899,-43.5605987650478,24.0987940610008,"NN","GSE13355"
"GSE13355|GSM337242",-36.7345744352334,-39.4387921765082,-14.0611895367239,"NN","GSE13355"
"GSE13355|GSM337243",-66.8726483447832,-8.94296181733603,-67.1884051490948,"NN","GSE13355"
"GSE13355|GSM337244",-47.8411244206408,-38.2660763930398,-3.52359725694214,"NN","GSE13355"
"GSE13355|GSM337245",-44.0102326350741,-36.6810499623571,-4.20277537501524,"NN","GSE13355"
"GSE13355|GSM337246",-42.561850922531,-44.1323287566795,7.92888142954934,"NN","GSE13355"
"GSE13355|GSM337247",-47.5587852680121,-10.9566325076136,-44.8117014137849,"NN","GSE13355"
"GSE13355|GSM337248",-59.3904396152344,-11.7733706861659,-59.9355672800692,"NN","GSE13355"
"GSE13355|GSM337249",-36.9960110708605,-37.3682117968885,10.3995783229285,"NN","GSE13355"
"GSE13355|GSM337250",-80.7473735541608,-7.31552517736767,-59.8082122129503,"NN","GSE13355"
"GSE13355|GSM337251",-47.4088884828793,-38.5775556417434,0.962435722025335,"NN","GSE13355"
"GSE13355|GSM337252",-53.3261914538395,-37.5936675566755,-20.4847960644018,"NN","GSE13355"
"GSE13355|GSM337253",-42.0714492784667,-17.6858455499983,-22.3856468899318,"NN","GSE13355"
"GSE13355|GSM337254",-43.304789380773,-30.5748739677883,-17.4635847345724,"NN","GSE13355"
"GSE13355|GSM337255",-40.7370919768845,-37.3914523172564,-0.822454763701384,"NN","GSE13355"
"GSE13355|GSM337256",-39.43422640691,-36.2379501568257,-11.2856658877056,"NN","GSE13355"
"GSE13355|GSM337257",-54.7475176732713,-34.1948540645464,-22.7016169135767,"NN","GSE13355"
