"sample","PC1","PC2","PC3","group","database"
"GSE13355|GSM337197",-6.11033529670203,-96.8903443956994,-30.6297344373076,"NN","GSE13355"
"GSE13355|GSM337198",-3.43582468480202,-82.4189937770085,-33.9051523463946,"NN","GSE13355"
"GSE13355|GSM337199",-1.22058432432881,-80.0687016436914,-39.9215097581741,"NN","GSE13355"
"GSE13355|GSM337200",-4.7723900478925,-81.2415270801059,-46.4932402391915,"NN","GSE13355"
"GSE13355|GSM337201",2.3867157236779,-76.8611558465962,-46.4011951233012,"NN","GSE13355"
"GSE13355|GSM337202",-8.32365665997144,-89.0931333077949,-32.1361666624196,"NN","GSE13355"
"GSE13355|GSM337203",-7.33575007116763,-88.8156709713186,-30.006702596653,"NN","GSE13355"
"GSE13355|GSM337204",-8.42332279747634,-89.7936106892237,-43.2045923227716,"NN","GSE13355"
"GSE13355|GSM337205",-5.66302964007855,-84.7056089548348,-33.1084212515156,"NN","GSE13355"
"GSE13355|GSM337206",-4.26443706193222,-84.3766608038686,-46.4406577738209,"NN","GSE13355"
"GSE13355|GSM337207",-1.76495273642486,-84.6199003446748,-39.2177090021956,"NN","GSE13355"
"GSE13355|GSM337208",-9.76575926977521,-91.394344632107,-25.7723656384977,"NN","GSE13355"
"GSE13355|GSM337209",-7.99321483257254,-87.9805244862657,-28.9472698626451,"NN","GSE13355"
"GSE13355|GSM337210",-1.98066741675813,-84.0449979331261,-36.9982778935817,"NN","GSE13355"
"GSE13355|GSM337211",-4.67670586205967,-82.3388961627277,-34.1630395231859,"NN","GSE13355"
"GSE13355|GSM337212",-1.60257743775467,-81.5191076449199,-40.5320808483212,"NN","GSE13355"
"GSE13355|GSM337213",-3.03747533420491,-85.9033079896209,-31.7157533577754,"NN","GSE13355"
"GSE13355|GSM337214",-3.57168090010642,-82.4915253959905,-38.1934981379172,"NN","GSE13355"
"GSE13355|GSM337215",-1.61586978715551,-80.461129498679,-35.6840971182304,"NN","GSE13355"
"GSE13355|GSM337216",-6.98353996541075,-85.8524049293062,-23.3991824223364,"NN","GSE13355"
"GSE13355|GSM337217",3.9765769111806,-82.0361949938259,-39.3522165437552,"NN","GSE13355"
"GSE13355|GSM337218",2.26150681966755,-82.1728444632397,-48.7583485441765,"NN","GSE13355"
"GSE13355|GSM337219",8.03510043254885,-72.4431791842082,-42.7631250197772,"NN","GSE13355"
"GSE13355|GSM337220",7.91208177420429,-83.163930268042,-50.7899127631648,"NN","GSE13355"
"GSE13355|GSM337221",1.82341005901366,-85.3198757722201,-33.3199399874375,"NN","GSE13355"
