sample	group	batch
GSM337197.CEL.gz	NN	GSE13355
GSM337198.CEL.gz	NN	GSE13355
GSM337199.CEL.gz	NN	GSE13355
GSM337200.CEL.gz	NN	GSE13355
GSM337201.CEL.gz	NN	GSE13355
GSM337202.CEL.gz	NN	GSE13355
GSM337203.CEL.gz	NN	GSE13355
GSM337204.CEL.gz	NN	GSE13355
GSM337205.CEL.gz	NN	GSE13355
GSM337206.CEL.gz	NN	GSE13355
GSM337207.CEL.gz	NN	GSE13355
GSM337208.CEL.gz	NN	GSE13355
GSM337209.CEL.gz	NN	GSE13355
GSM337210.CEL.gz	NN	GSE13355
GSM337211.CEL.gz	NN	GSE13355
GSM337212.CEL.gz	NN	GSE13355
GSM337213.CEL.gz	NN	GSE13355
GSM337214.CEL.gz	NN	GSE13355
GSM337215.CEL.gz	NN	GSE13355
GSM337216.CEL.gz	NN	GSE13355
GSM337217.CEL.gz	NN	GSE13355
GSM337218.CEL.gz	NN	GSE13355
GSM337219.CEL.gz	NN	GSE13355
GSM337220.CEL.gz	NN	GSE13355
GSM337221.CEL.gz	NN	GSE13355
GSM337222.CEL.gz	NN	GSE13355
GSM337223.CEL.gz	NN	GSE13355
GSM337224.CEL.gz	NN	GSE13355
GSM337225.CEL.gz	NN	GSE13355
GSM337226.CEL.gz	NN	GSE13355
GSM337227.CEL.gz	NN	GSE13355
GSM337228.CEL.gz	NN	GSE13355
GSM337229.CEL.gz	NN	GSE13355
GSM337230.CEL.gz	NN	GSE13355
GSM337231.CEL.gz	NN	GSE13355
GSM337232.CEL.gz	NN	GSE13355
GSM337233.CEL.gz	NN	GSE13355
GSM337234.CEL.gz	NN	GSE13355
GSM337235.CEL.gz	NN	GSE13355
GSM337236.CEL.gz	NN	GSE13355
GSM337237.CEL.gz	NN	GSE13355
GSM337238.CEL.gz	NN	GSE13355
GSM337239.CEL.gz	NN	GSE13355
GSM337240.CEL.gz	NN	GSE13355
GSM337241.CEL.gz	NN	GSE13355
GSM337242.CEL.gz	NN	GSE13355
GSM337243.CEL.gz	NN	GSE13355
GSM337244.CEL.gz	NN	GSE13355
