Gene1	Gene2	Score
PDK4	PLIN1	0.421
PDK4	ADIPOQ	0.440
PDK4	ANGPTL4	0.739
HMOX1	ADIPOQ	0.527
HMOX1	APOE	0.572
HMOX1	BCL2	0.856
NAMPT	RBP4	0.695
NAMPT	ADIPOQ	0.876
HBEGF	LDLR	0.532
HBEGF	ADIPOQ	0.767
APOE	PLIN1	0.403
APOE	RBP4	0.439
APOE	ANGPTL4	0.454
APOE	BCL2	0.491
APOE	CXCL13	0.557
APOE	CXCR4	0.558
APOE	ADIPOQ	0.795
APOE	LDLR	0.839
CXCL13	BCL2	0.725
CXCL13	CXCR4	0.998
FABP5	PLIN1	0.422
FABP5	ADIPOQ	0.520
PLIN1	ANGPTL4	0.405
PLIN1	ADIPOQ	0.947
ANGPTL4	ADIPOQ	0.492
INSIG1	LDLR	0.426
RBP4	ADIPOQ	0.799
BCL2	ADIPOQ	0.442
BCL2	CXCR4	0.759
CXCR4	ADIPOQ	0.527
