Gene	logFC	Direction	Degree	Betweenness	Closeness
CXCL13	2.6600	UP	3	0.000000	0.384314
CXCR4	1.6000	UP	4	0.009436	0.461176
ALDH1A3	1.5800	UP	0	0.000000	0.000000
FABP5	1.5000	UP	2	0.000000	0.384314
NAMPT	1.5000	UP	2	0.000000	0.384314
HMOX1	1.1900	UP	3	0.000000	0.443439
HBEGF	1.0600	UP	2	0.020833	0.427015
ANGPTL4	1.0200	UP	4	0.007598	0.461176
LDLR	1.0200	UP	3	0.101103	0.411765
INSIG1	-1.0100	DOWN	1	0.000000	0.281205
APOE	-1.0400	DOWN	9	0.227451	0.606811
BCL2	-1.0700	DOWN	5	0.015564	0.480392
MOGAT1	-1.1000	DOWN	0	0.000000	0.000000
PLIN1	-1.1200	DOWN	5	0.025368	0.480392
ADIPOQ	-1.3400	DOWN	11	0.288113	0.640523
RBP4	-1.3600	DOWN	3	0.010417	0.443439
FADS2	-1.6500	DOWN	0	0.000000	0.000000
PDK4	-1.8500	DOWN	3	0.000000	0.397566
