Gene	MCC	DMNC	MNC	Degree	EPC	Betweenness	Stress	Radiality	Closeness	EcCentricity	BottleNeck	Direction
ADIPOQ	0.428571	0.288889	10.000000	11.000000	0.785714	0.430586	30.000000	0.777778	0.777778	3.000000	0.318681	DOWN
APOE	0.428571	0.392857	8.000000	9.000000	0.642857	0.339927	34.000000	0.736842	0.736842	2.000000	0.395604	DOWN
BCL2	0.428571	0.700000	5.000000	5.000000	0.357143	0.023260	0.000000	0.583333	0.583333	3.000000	0.000000	DOWN
PLIN1	0.428571	0.600000	5.000000	5.000000	0.357143	0.037912	6.000000	0.583333	0.583333	3.000000	0.065934	DOWN
CXCR4	0.428571	0.833333	4.000000	4.000000	0.285714	0.014103	1.000000	0.560000	0.560000	3.000000	0.000000	UP
ANGPTL4	0.428571	0.833333	4.000000	4.000000	0.285714	0.011355	2.000000	0.560000	0.560000	3.000000	0.021978	UP
CXCL13	0.428571	1.000000	3.000000	3.000000	0.214286	0.000000	0.000000	0.466667	0.466667	3.000000	0.000000	UP
HMOX1	0.428571	1.000000	3.000000	3.000000	0.214286	0.000000	0.000000	0.538462	0.538462	3.000000	0.000000	UP
LDLR	0.071429	0.000000	1.000000	3.000000	0.214286	0.151099	15.000000	0.500000	0.500000	3.000000	0.164835	UP
RBP4	0.214286	0.666667	3.000000	3.000000	0.214286	0.015568	2.000000	0.538462	0.538462	3.000000	0.043956	DOWN
PDK4	0.428571	1.000000	3.000000	3.000000	0.214286	0.000000	0.000000	0.482759	0.482759	4.000000	0.000000	DOWN
FABP5	0.214286	1.000000	2.000000	2.000000	0.142857	0.000000	0.000000	0.466667	0.466667	4.000000	0.000000	UP
NAMPT	0.214286	1.000000	2.000000	2.000000	0.142857	0.000000	0.000000	0.466667	0.466667	4.000000	0.000000	UP
HBEGF	0.071429	0.000000	1.000000	2.000000	0.142857	0.031136	6.000000	0.518519	0.518519	3.000000	0.043956	UP
INSIG1	0.071429	0.000000	1.000000	1.000000	0.071429	0.000000	0.000000	0.341463	0.341463	4.000000	0.000000	DOWN
