Rank	Gene	MeanRank	Degree	Betweenness	MNC	Closeness	Direction	IsHub
1	ADIPOQ	1.00	1	1	1	1	DOWN	Yes
2	APOE	2.00	2	2	2	2	DOWN	Yes
3	PLIN1	3.25	3	4	3	3	DOWN	Yes
4	BCL2	3.75	3	6	3	3	DOWN	Yes
5	CXCR4	5.75	5	8	5	5	UP	No
6	ANGPTL4	6.00	5	9	5	5	UP	No
7	RBP4	7.00	7	7	7	7	DOWN	No
8	HMOX1	7.75	7	10	7	7	UP	No
9	LDLR	8.25	7	3	13	10	UP	No
10	PDK4	8.75	7	10	7	11	DOWN	No
11	CXCL13	9.00	7	10	7	12	UP	No
12	HBEGF	9.75	12	5	13	9	UP	No
13	FABP5	11.25	12	10	11	12	UP	No
14	NAMPT	11.25	12	10	11	12	UP	No
15	INSIG1	13.25	15	10	13	15	DOWN	No
