Gene	Drug	ConceptID	IScore	InteractionTypes	Directions	Sources	PMIDs
PLIN1	CARBETAPENTANE CITRATE	rxcui:283547	0.9667370103497321			DTC	
PLIN1	SUFENTANIL CITRATE	rxcui:58964	1.450105515524598			DTC	
PLIN1	CITRIC ACID	rxcui:21183	1.160084412419678			DTC	
PLIN1	CHEMBL:CHEMBL585591	chembl:CHEMBL585591	0.241684252587433			DTC	
PLIN1	THIETHYLPERAZINE MALATE	ncit:C66598	0.725052757762299			DTC	
PLIN1	CHEMBL:CHEMBL482792	chembl:CHEMBL482792	2.900211031049196			DTC	
PLIN1	ALVERINE CITRATE	rxcui:71767	1.160084412419678			DTC	
PLIN1	TOREMIFENE	rxcui:38409	0.4461863124691071			DTC	
PLIN1	CHLORHEXIDINE GLUCONATE	rxcui:20791	0.3052853716893891			DTC	
APOE	TRIAMCINOLONE	rxcui:10759	0.07826656455605027			NCI	9150415
APOE	AZ7188	iuphar.ligand:9586	0.9000654923945781	inhibitor	INHIBITORY	GuideToPharmacology	
APOE	PRAVASTATIN SODIUM	rxcui:203144	0.1333430359103078			PharmGKB	19667110,20031551,17289397
APOE	LUTEIN	rxcui:11359	0.9000654923945781			NCI	11413081
APOE	TRETINOIN	rxcui:10753	0.01978165917350721			NCI	3468509
APOE	LECANEMAB	rxcui:2626143	0.450032746197289			PharmGKB	
APOE	PHYTOSTEROL	ncit:C28178	0.9000654923945781			NCI	16677856
APOE	BUTHIONINE SULFOXIMINE	ncit:C1029	0.1800130984789156			NCI	12615656
APOE	P2PAL18S	iuphar.ligand:6659	0.9000654923945781	inhibitor	INHIBITORY	GuideToPharmacology	
APOE	THERAPEUTIC CORTICOSTEROID	ncit:C211	0.04286026154259895			NCI	1903065
APOE	VITAMIN E	rxcui:11256	0.1125081865493222			NCI	12076219
APOE	AZ2429	iuphar.ligand:12490	0.9000654923945781	agonist	ACTIVATING	GuideToPharmacology	
APOE	GB88	iuphar.ligand:6658	0.9000654923945781	inhibitor	INHIBITORY	GuideToPharmacology	
APOE	IRBESARTAN	rxcui:83818	0.2250163730986445			NCI	12827021
APOE	SLIGKV-NH2	iuphar.ligand:3740	0.9000654923945781	agonist	ACTIVATING	GuideToPharmacology	
APOE	STAUROSPORINE	ncit:C1237	0.06429039231389844			NCI	11948667
APOE	TROGLITAZONE	rxcui:72610	0.06923580710727524			NCI	15057551
APOE	AEM-28	drugbank:DB17642	0.9000654923945781			TTD	
APOE	TRANS-CINNAMOYL-LIGRLO [N-[3H]PROPIONYL]-NH2	iuphar.ligand:3914	0.9000654923945781	agonist	ACTIVATING	GuideToPharmacology	
APOE	ACE INHIBITOR	ncit:C247	0.3857423538833907			NCI	12105166,15585195
APOE	I-191	iuphar.ligand:10268	0.9000654923945781	inhibitor	INHIBITORY	GuideToPharmacology	
APOE	AZ3451	iuphar.ligand:9560	0.9000654923945781	modulator		GuideToPharmacology	
APOE	CN-105	drugbank:DB18345	0.9000654923945781			TTD	
APOE	RECOMBINANT CYTOKINE	ncit:C1283	0.1038537106609128			NCI	10686578,9617572
APOE	2-FUROYL-LIGRL[N[3H]PROPIONYL]-O-NH2	iuphar.ligand:4049	0.9000654923945781	agonist	ACTIVATING	GuideToPharmacology	
APOE	FENOFIBRATE MICRONIZED	rxcui:221100	0.06923580710727524			PharmGKB	12042669
APOE	DONEPEZIL	rxcui:135447	0.3375245596479668			PharmGKB	24951635,27567841
APOE	AC-98170	iuphar.ligand:9457	0.9000654923945781	agonist	ACTIVATING	GuideToPharmacology	
APOE	HUMAN CHORIONIC GONADOTROPIN	rxcui:340705	0.09474373604153453			NCI	1709885
APOE	GALANTAMINE	rxcui:4637	0.2250163730986445			PharmGKB	24951635
APOE	NICOTINE POLACRILEX	rxcui:31765	0.03913328227802513			PharmGKB	23247396
APOE	I-287	iuphar.ligand:12491	0.9000654923945781	modulator		GuideToPharmacology	
APOE	ANTIDEPRESSANT AGENT	ncit:C265	0.03461790355363762			NCI	14512205
APOE	ISOX-CHA-CHG-ALA-ARG-DPR(4FB)-NH2	iuphar.ligand:12492	0.9000654923945781	agonist	ACTIVATING	GuideToPharmacology	
APOE	GANCICLOVIR	rxcui:4678	0.2250163730986445			NCI	16322528
APOE	C391	iuphar.ligand:9570	0.9000654923945781	inhibitor	INHIBITORY	GuideToPharmacology	
