Rank	TF	Gene	Species	P-value	Z-score	Combined_Score	BH_FDR	Overlap_n	Overlap_Genes	Category	Psoriasis_Note
1	PPARA human	PPARA	human	5.530158e-05	269.69	2643.68	5.419555e-04	2	LPL|CD36	PPAR_CORE	
2	PPARG human	PPARG	human	1.595090e-04	155.70	1361.38	1.116563e-03	2	ADIPOQ|CD36	PPAR_CORE	
3	SP1 human	SP1	human	2.477173e-04	41.63	345.67	1.517269e-03	3	ADIPOQ|LPL|APOE	PSORIASIS_KNOWN	角质形成细胞增殖，银屑病表皮下调
4	PPARD human	PPARD	human	2.996578e-03	444.11	2580.41	8.971970e-03	1	LPL	PPAR_CORE	
5	MEF2A human	MEF2A	human	3.295826e-03	399.68	2284.21	8.971970e-03	1	PPARGC1A	OTHER	
6	KLF5 human	KLF5	human	3.894096e-03	333.03	1847.77	9.086225e-03	1	FASN	OTHER	
7	FOXM1 human	FOXM1	human	5.089741e-03	249.72	1318.68	9.592205e-03	1	APOE	OTHER	
8	MITF human	MITF	human	7.775574e-03	159.75	775.88	1.270010e-02	1	PPARGC1A	OTHER	
9	SREBF1 human	SREBF1	human	8.073627e-03	153.60	740.22	1.276154e-02	1	FASN	PPAR_PARTNER	
10	RUNX3 human	RUNX3	human	8.967338e-03	137.69	649.09	1.373124e-02	1	CD36	OTHER	
11	ATF4 human	ATF4	human	1.045537e-02	117.41	535.47	1.463568e-02	1	APOE	OTHER	
12	SP3 human	SP3	human	3.342868e-02	35.50	120.65	3.640012e-02	1	LPL	OTHER	
