Node	Type	Degree	Direction	logFC
ADIPOQ	Hub	3	Down	-1.34
APOE	Hub	3	Down	-1.04
BCL2	Hub	46	Down	-1.07
PLIN1	Hub	2	Down	-1.12
ABL1	TF	1		
ATF1	TF	1		
ATF4	TF	1		
ATF5	TF	1		
ATM	TF	1		
BACH2	TF	1		
CEBPA	TF	1		
CREB1	TF	1		
DDB2	TF	1		
DEK	TF	1		
E2F1	TF	1		
ERCC2	TF	1		
ESR1	TF	1		
FOXA1	TF	1		
FOXM1	TF	1		
GLI1	TF	1		
GLI2	TF	1		
HOXA1	TF	1		
ING2	TF	1		
ING4	TF	1		
IRF1	TF	1		
MSX2	TF	1		
MYB	TF	1		
MYC	TF	1		
NCOA3	TF	1		
NFKB1	TF	2		
NR1I2	TF	1		
PARP1	TF	1		
PAWR	TF	1		
PAX5	TF	1		
PER1	TF	1		
PGR	TF	1		
PPARG	TF	2		
RELA	TF	2		
SATB1	TF	1		
SIM2	TF	1		
SMAD2	TF	1		
SMAD4	TF	1		
SP1	TF	3		
STAT3	TF	1		
TBP	TF	1		
TCF4	TF	1		
TFAP2A	TF	1		
TFAP2B	TF	1		
TP53	TF	1		
TWIST1	TF	1		
WT1	TF	1		
ZBTB16	TF	1		
ZNRD1	TF	1		
