TF	Target	Mode	n_PMIDs
PPARG	ADIPOQ	Mixed	3
SP1	ADIPOQ	Activation	1
TFAP2B	ADIPOQ	Repression	1
ATF4	APOE	Activation	1
FOXM1	APOE	Unknown	1
SP1	APOE	Unknown	1
ABL1	BCL2	Repression	1
ATF1	BCL2	Unknown	1
ATF5	BCL2	Activation	1
ATM	BCL2	Repression	1
BACH2	BCL2	Unknown	1
CEBPA	BCL2	Repression	1
CREB1	BCL2	Mixed	3
DDB2	BCL2	Repression	1
DEK	BCL2	Activation	1
E2F1	BCL2	Activation	2
ERCC2	BCL2	Repression	1
ESR1	BCL2	Mixed	4
FOXA1	BCL2	Repression	1
GLI1	BCL2	Mixed	5
GLI2	BCL2	Activation	2
HOXA1	BCL2	Activation	2
ING2	BCL2	Repression	1
ING4	BCL2	Repression	2
IRF1	BCL2	Repression	1
MSX2	BCL2	Repression	1
MYB	BCL2	Mixed	3
MYC	BCL2	Unknown	1
NCOA3	BCL2	Activation	1
NFKB1	BCL2	Mixed	17
NR1I2	BCL2	Activation	1
PARP1	BCL2	Repression	1
PAWR	BCL2	Repression	2
PAX5	BCL2	Repression	1
PER1	BCL2	Activation	1
PGR	BCL2	Mixed	2
PPARG	BCL2	Mixed	2
RELA	BCL2	Mixed	16
SATB1	BCL2	Mixed	2
SIM2	BCL2	Repression	1
SMAD2	BCL2	Unknown	1
SMAD4	BCL2	Unknown	1
SP1	BCL2	Unknown	1
STAT3	BCL2	Mixed	13
TBP	BCL2	Repression	1
TCF4	BCL2	Unknown	1
TFAP2A	BCL2	Repression	1
TP53	BCL2	Mixed	6
TWIST1	BCL2	Unknown	1
WT1	BCL2	Unknown	1
ZBTB16	BCL2	Repression	1
ZNRD1	BCL2	Activation	2
NFKB1	PLIN1	Activation	1
RELA	PLIN1	Activation	1
