TF	Target	Mode	n_PMIDs	PMIDs
PPARG	ADIPOQ	Mixed	3	20484463;18373719;19833717
SP1	ADIPOQ	Activation	1	12378384
TFAP2B	ADIPOQ	Repression	1	19325541
ATF4	APOE	Activation	1	22028770
FOXM1	APOE	Unknown	1	11229886
SP1	APOE	Unknown	1	11229886
ABL1	BCL2	Repression	1	11753601
ATF1	BCL2	Unknown	1	10542244
ATF5	BCL2	Activation	1	21212266
ATM	BCL2	Repression	1	16214353
BACH2	BCL2	Unknown	1	18929412
CEBPA	BCL2	Repression	1	12970736
CREB1	BCL2	Mixed	3	17290286;10542244;19626458
DDB2	BCL2	Repression	1	20013802
DEK	BCL2	Activation	1	17685435
E2F1	BCL2	Activation	2	11559537;12679318
ERCC2	BCL2	Repression	1	22387547
ESR1	BCL2	Mixed	4	19148464;10542244;11261829;9306964
FOXA1	BCL2	Repression	1	19127412
GLI1	BCL2	Mixed	5	19074837;21135115;14555646;15520176;24739390
GLI2	BCL2	Activation	2	16880536;21135115
HOXA1	BCL2	Activation	2	12482855;15665309
ING2	BCL2	Repression	1	15748897
ING4	BCL2	Repression	2	19895734;20707719
IRF1	BCL2	Repression	1	10918594
MSX2	BCL2	Repression	1	21730974
MYB	BCL2	Mixed	3	11675351;20659323;16088151
MYC	BCL2	Unknown	1	18809243
NCOA3	BCL2	Activation	1	22213475
NFKB1	BCL2	Mixed	17	14978135;18158998;19259124;20446017;21503108;12032828;15120608;18031796;18566231;14739605;16022909;16453001;17673602;18761399;19233129;20103608;20332461
NR1I2	BCL2	Activation	1	16085054
PARP1	BCL2	Repression	1	20564216
PAWR	BCL2	Repression	2	11912153;9989812
PAX5	BCL2	Repression	1	22105368
PER1	BCL2	Activation	1	19675098
PGR	BCL2	Mixed	2	17785366;9306964
PPARG	BCL2	Mixed	2	15067355;14960510
RELA	BCL2	Mixed	16	14978135;18158998;19259124;20446017;21503108;15120608;18031796;18566231;14739605;16022909;16453001;17673602;18761399;19233129;20103608;20332461
SATB1	BCL2	Mixed	2	20564216;21310710
SIM2	BCL2	Repression	1	21729534
SMAD2	BCL2	Unknown	1	24739390
SMAD4	BCL2	Unknown	1	24739390
SP1	BCL2	Unknown	1	10542244
STAT3	BCL2	Mixed	13	15184887;15805299;18839277;19926637;21435102;22504301;22313388;18320073;20043094;20446017;21172343;21344490;21385902
TBP	BCL2	Repression	1	11313951
TCF4	BCL2	Unknown	1	23671559
TFAP2A	BCL2	Repression	1	16533807
TP53	BCL2	Mixed	6	11313951;17693666;19411072;20428827;9000137;21859835
TWIST1	BCL2	Unknown	1	23095743
WT1	BCL2	Unknown	1	12644474
ZBTB16	BCL2	Repression	1	14769944
ZNRD1	BCL2	Activation	2	16373708;16609701
NFKB1	PLIN1	Activation	1	17272828
RELA	PLIN1	Activation	1	17272828
